time,moisture,temperature,humidity,light,ph,air_quality,nutrient,prediction
2026-03-26 14:45:37.615158,78,37,77,238,6.3,45,35,water_needed
2026-03-26 14:45:39.765442,17,42,65,503,7.0,32,38,water_needed
2026-03-26 14:45:41.960743,63,16,50,156,6.9,51,77,healthy
2026-03-26 14:45:44.110880,48,27,60,762,7.5,86,25,water_needed
2026-03-26 14:45:46.258787,35,17,74,277,7.3,76,30,water_needed
2026-03-26 14:45:48.402802,55,16,51,747,7.2,89,64,healthy
2026-03-26 14:45:50.572115,80,18,44,175,6.4,68,31,water_needed
2026-03-26 14:45:52.728139,23,37,74,156,5.5,39,62,water_needed
2026-03-26 14:45:54.922712,82,36,60,441,6.5,45,51,water_needed
2026-03-26 14:45:57.075914,14,38,34,260,7.1,40,42,water_needed
2026-03-26 14:45:59.235324,46,43,78,469,7.2,82,61,healthy
2026-03-26 14:46:01.389199,65,19,28,359,6.3,33,24,water_needed
2026-03-26 14:46:03.606350,73,40,67,756,6.5,87,44,water_needed
2026-03-26 14:46:05.770280,14,29,46,385,6.1,75,59,water_needed
2026-03-26 14:46:07.980479,64,43,71,314,7.0,75,33,water_needed
2026-03-26 14:46:10.131352,83,41,84,492,6.7,84,41,water_needed
2026-03-26 14:46:12.290063,76,31,69,585,7.5,43,45,water_needed
2026-03-26 14:46:14.435132,50,27,47,625,6.0,69,78,water_needed
2026-03-26 14:46:16.584503,44,22,64,179,5.9,77,41,water_needed
2026-03-26 14:46:18.734722,85,23,29,441,5.6,90,59,water_needed
2026-03-26 14:46:20.878160,95,43,21,884,7.2,68,36,water_needed
2026-03-26 14:46:23.029605,43,29,47,220,6.3,79,51,water_needed
2026-03-26 14:46:25.178313,94,24,29,219,5.8,59,65,water_needed
2026-03-26 14:46:27.337938,74,42,68,408,5.8,46,55,water_needed
2026-03-26 14:46:29.496063,57,23,26,698,6.0,70,73,water_needed
2026-03-26 14:46:31.709202,39,17,52,269,6.5,87,76,healthy
2026-03-26 14:46:33.886223,49,27,29,826,7.1,31,78,water_needed
2026-03-26 14:46:36.076501,55,43,36,630,7.1,89,61,water_needed
2026-03-26 14:46:38.215186,51,20,22,373,6.2,41,31,water_needed
2026-03-26 14:46:40.383651,11,24,29,569,6.1,69,25,water_needed
2026-03-26 14:46:42.538659,44,36,54,634,6.0,55,25,water_needed
2026-03-26 14:46:44.809430,10,36,58,187,6.4,87,32,water_needed
2026-03-26 14:46:46.998551,66,33,74,735,7.2,43,21,water_needed
2026-03-26 14:46:49.142733,51,30,79,221,6.3,71,39,water_needed
2026-03-26 14:46:51.324775,65,22,62,680,6.1,82,67,healthy
2026-03-26 14:46:53.481646,65,33,71,853,6.9,58,78,healthy
2026-03-26 14:46:55.623899,26,45,31,663,7.1,56,54,water_needed
2026-03-26 14:46:57.783196,33,20,28,898,5.7,34,35,water_needed
2026-03-26 14:46:59.998655,14,44,21,340,5.5,78,20,water_needed
2026-03-26 14:47:02.140369,85,22,49,572,7.2,88,63,water_needed
2026-03-26 14:47:04.281527,35,15,37,735,5.9,33,21,water_needed
2026-03-26 14:47:06.423089,35,21,29,451,6.3,84,49,water_needed
2026-03-26 14:47:08.575485,70,20,64,107,6.0,46,76,healthy
2026-03-26 14:47:10.728382,87,26,55,352,7.3,82,68,healthy
2026-03-26 14:47:12.867255,36,17,21,378,6.1,82,73,water_needed
2026-03-26 14:47:15.024189,70,36,25,686,7.2,61,56,water_needed
2026-03-26 14:47:17.168794,21,45,45,866,7.1,79,37,water_needed
2026-03-26 14:47:19.322570,87,21,39,733,5.6,65,57,water_needed
2026-03-26 14:47:21.473462,78,25,22,325,6.7,32,25,water_needed
2026-03-26 14:47:23.638457,23,32,36,245,6.6,43,69,water_needed
2026-03-26 14:47:25.788949,19,43,32,723,5.9,45,55,water_needed
2026-03-26 14:47:27.963209,44,37,25,697,6.3,60,69,water_needed
2026-03-26 14:47:30.187535,12,44,43,597,7.0,69,63,water_needed
2026-03-26 14:47:32.342974,44,35,63,742,6.9,56,80,healthy
2026-03-26 14:47:34.493305,57,17,61,719,6.5,64,69,healthy
2026-03-26 14:47:36.643831,39,39,65,826,6.9,54,60,healthy
2026-03-26 14:47:38.815705,34,41,68,330,6.5,64,29,water_needed
2026-03-26 14:47:41.039203,49,28,24,507,5.6,33,78,water_needed
2026-03-26 14:47:43.190428,44,18,46,433,5.9,62,44,water_needed
2026-03-26 14:47:45.327167,94,23,20,445,7.0,72,43,water_needed
2026-03-26 14:47:47.480083,61,43,61,254,6.1,48,21,water_needed
2026-03-26 14:47:49.635275,66,30,65,580,7.4,42,57,water_needed
2026-03-26 14:47:51.787784,61,43,21,607,5.5,38,78,water_needed
2026-03-26 14:47:53.929847,54,34,71,851,6.0,57,54,water_needed
2026-03-26 14:47:56.098851,57,32,25,431,5.6,31,74,water_needed
2026-03-26 14:47:58.311136,55,19,43,812,6.0,39,64,water_needed
2026-03-26 14:48:00.534845,72,30,58,225,7.0,39,45,water_needed
2026-03-26 14:48:02.742139,35,30,51,572,7.1,37,25,water_needed
2026-03-26 14:48:04.967530,14,39,79,370,6.6,48,71,healthy
2026-03-26 14:48:07.107930,85,31,66,145,6.3,56,43,water_needed
2026-03-26 14:48:09.254542,71,41,56,432,7.2,69,52,water_needed
2026-03-26 14:48:11.421459,60,36,78,130,6.2,47,47,water_needed
2026-03-26 14:48:13.566198,24,43,67,429,7.4,66,54,water_needed
2026-03-26 14:48:15.723614,73,29,32,633,6.9,48,80,water_needed
2026-03-26 14:48:17.882581,35,42,59,253,6.5,90,29,water_needed
2026-03-26 14:48:20.174587,25,40,22,126,6.4,35,40,water_needed
2026-03-26 14:48:22.317070,52,26,85,393,7.3,38,68,healthy
2026-03-26 14:48:24.467614,74,20,64,589,5.8,54,69,healthy
2026-03-26 14:48:26.684405,80,27,53,607,6.4,38,79,healthy
2026-03-26 14:48:28.852440,55,16,80,236,6.5,64,58,healthy
2026-03-26 14:48:30.996616,36,42,66,839,6.5,51,23,water_needed
2026-03-26 14:48:33.146819,73,16,50,853,7.4,45,33,water_needed
2026-03-26 14:48:35.296961,32,21,45,817,7.3,39,54,water_needed
2026-03-26 14:48:37.441738,80,28,85,403,6.2,68,57,water_needed
2026-03-26 14:48:39.599151,61,22,54,257,6.4,38,22,water_needed
2026-03-26 14:48:41.769287,73,15,58,609,6.7,47,54,healthy
2026-03-26 14:48:43.916679,43,35,69,256,5.7,74,32,water_needed
2026-03-26 14:48:46.067425,68,20,76,873,5.7,43,23,water_needed
2026-03-26 14:48:48.217722,77,19,79,578,5.9,36,30,water_needed
2026-03-26 14:48:50.361491,22,42,55,791,6.3,61,50,water_needed
2026-03-26 14:48:52.515273,66,37,39,186,5.8,43,74,water_needed
2026-03-26 14:48:54.728377,73,17,29,722,5.5,57,68,water_needed
2026-03-26 14:48:56.881114,77,37,39,900,5.7,71,38,water_needed
2026-03-26 14:48:59.044166,20,31,52,120,6.4,76,50,water_needed
2026-03-26 14:49:01.192045,93,42,56,366,6.9,35,28,water_needed
2026-03-26 14:49:03.347455,93,24,39,472,6.9,86,58,water_needed
2026-03-26 14:49:05.497137,70,39,29,159,7.2,61,33,water_needed
2026-03-26 14:49:07.659850,28,20,83,425,6.4,51,48,water_needed
2026-03-26 14:49:09.806692,95,31,25,649,5.9,88,35,water_needed
2026-03-26 14:49:11.964441,85,27,38,849,6.7,60,44,water_needed
2026-03-26 14:49:14.121874,42,28,71,865,5.6,44,60,water_needed
2026-03-26 14:49:16.283240,63,16,48,351,6.6,68,73,water_needed
2026-03-26 14:49:18.452487,23,38,28,408,6.8,43,59,water_needed
2026-03-26 14:49:20.606385,57,34,24,580,7.3,80,32,water_needed
2026-03-26 14:49:22.756016,46,29,74,744,6.5,80,72,healthy
2026-03-26 14:49:24.971348,23,39,70,125,6.6,76,74,healthy
2026-03-26 14:49:27.118497,72,16,33,671,6.0,54,48,water_needed
2026-03-26 14:49:29.358423,87,22,41,823,5.8,56,76,water_needed
2026-03-26 14:49:31.513133,62,28,67,180,6.5,34,75,healthy
2026-03-26 14:49:33.662989,81,26,25,716,5.7,54,23,water_needed
2026-03-26 14:49:35.817398,66,44,37,677,7.3,54,66,water_needed
2026-03-26 14:49:37.974909,93,16,69,336,6.1,71,42,water_needed
2026-03-26 14:49:40.121906,54,15,44,806,6.3,83,54,water_needed
2026-03-26 14:49:42.316338,55,37,53,671,6.4,65,35,water_needed
2026-03-26 14:49:44.464799,37,24,72,394,6.8,83,75,healthy
2026-03-26 14:49:46.607611,83,17,62,726,6.7,45,27,water_needed
2026-03-26 14:49:48.774115,17,30,25,744,6.2,86,61,water_needed
2026-03-26 14:49:50.986723,92,17,58,837,6.9,61,52,healthy
2026-03-26 14:49:53.228283,45,41,64,432,5.6,38,74,water_needed
2026-03-26 14:49:55.400468,47,45,28,458,6.7,71,30,water_needed
2026-03-26 14:49:57.552510,25,32,25,493,5.7,59,34,water_needed
2026-03-26 14:49:59.712862,88,43,38,151,5.6,46,20,water_needed
2026-03-26 14:50:01.865000,67,44,68,553,6.8,76,40,water_needed
2026-03-26 14:50:04.045002,26,35,82,453,6.4,51,44,water_needed
2026-03-26 14:50:06.228126,56,43,54,719,7.3,71,44,water_needed
2026-03-26 14:50:08.454063,77,25,40,493,6.6,76,56,water_needed
2026-03-26 14:50:10.634859,19,15,76,619,5.9,65,51,water_needed
2026-03-26 14:50:12.778103,49,30,74,247,6.0,87,54,water_needed
2026-03-26 14:50:14.953283,73,29,40,635,7.2,66,27,water_needed
2026-03-26 14:50:17.098807,65,28,48,870,6.8,53,24,water_needed
2026-03-26 14:50:19.249188,54,40,38,375,6.5,49,36,water_needed
2026-03-26 14:50:21.469452,79,32,61,300,5.9,50,73,water_needed
2026-03-26 14:50:23.621658,41,42,33,668,6.0,88,27,water_needed
2026-03-26 14:50:25.797321,36,29,58,791,6.6,48,32,water_needed
2026-03-26 14:50:27.944572,55,16,82,779,6.6,60,37,water_needed
2026-03-26 14:50:30.095613,57,20,43,858,7.4,50,57,water_needed
2026-03-26 14:50:32.260247,52,41,38,472,7.0,66,76,water_needed
2026-03-26 14:50:34.412941,79,24,49,848,6.8,34,65,water_needed
2026-03-26 14:50:36.566143,53,25,72,340,7.1,30,72,healthy
2026-03-26 14:50:38.715756,95,41,75,353,6.0,57,50,water_needed
2026-03-26 14:50:40.869230,54,16,81,326,7.0,88,34,water_needed
2026-03-26 14:50:43.087076,93,44,53,679,6.9,39,79,healthy
2026-03-26 14:50:45.241001,78,25,72,231,6.6,34,63,healthy
2026-03-26 14:50:47.408754,13,37,46,505,7.4,79,63,water_needed
2026-03-26 14:50:49.675277,24,19,49,710,5.6,67,23,water_needed
2026-03-26 14:50:51.825014,60,17,55,327,7.3,69,75,healthy
2026-03-26 14:50:53.972295,16,45,74,117,5.9,71,53,water_needed
2026-03-26 14:50:56.120207,56,33,60,546,7.2,60,72,healthy
2026-03-26 14:50:58.313503,48,41,71,861,5.6,33,55,water_needed
2026-03-26 14:51:00.466483,38,37,36,365,6.0,45,52,water_needed
2026-03-26 14:51:02.639049,13,36,56,828,6.2,66,44,water_needed
2026-03-26 14:51:04.778957,95,27,23,857,7.4,54,80,water_needed
2026-03-26 14:51:06.931201,84,32,57,743,6.3,52,46,water_needed
2026-03-26 14:51:09.086095,23,16,59,542,6.6,38,36,water_needed
2026-03-26 14:51:11.237395,18,15,23,382,5.9,58,43,water_needed
2026-03-26 14:51:13.385547,88,22,26,811,7.1,82,57,water_needed
2026-03-26 14:51:15.533445,20,29,25,392,6.7,66,70,water_needed
2026-03-26 14:51:17.699333,73,28,77,283,6.0,87,43,water_needed
2026-03-26 14:51:19.909906,71,30,41,885,7.1,59,66,water_needed
2026-03-26 14:51:22.064892,17,43,52,406,6.8,43,23,water_needed
2026-03-26 14:51:24.203462,79,26,85,810,5.6,41,31,water_needed
2026-03-26 14:51:26.357816,38,24,75,116,6.6,38,54,healthy
2026-03-26 14:51:28.522989,63,18,38,554,7.1,46,34,water_needed
2026-03-26 14:51:30.676406,67,31,34,867,7.0,65,61,water_needed
2026-03-26 14:51:32.826273,20,45,68,345,7.2,72,24,water_needed
2026-03-26 14:51:35.006132,55,31,43,167,5.8,82,39,water_needed
2026-03-26 14:51:37.154789,29,17,78,727,7.0,50,64,healthy
2026-03-26 14:51:39.303502,39,38,61,564,6.7,62,34,water_needed
2026-03-26 14:51:41.458812,51,25,73,475,7.3,54,43,water_needed
2026-03-26 14:51:43.615891,92,19,46,703,6.2,63,22,water_needed
2026-03-26 14:51:45.763568,21,24,55,152,6.4,42,70,healthy
2026-03-26 14:51:47.967139,91,31,28,124,6.2,90,63,water_needed
2026-03-26 14:51:50.129939,45,29,24,529,6.9,57,48,water_needed
2026-03-26 14:51:52.273919,64,37,84,339,6.6,57,66,healthy
2026-03-26 14:51:54.433089,90,27,25,100,7.4,81,43,water_needed
2026-03-26 14:51:56.579229,30,31,78,314,6.5,69,51,water_needed
2026-03-26 14:51:58.752569,24,27,35,646,6.4,81,39,water_needed
2026-03-26 14:52:00.914449,51,21,23,443,7.1,82,35,water_needed
2026-03-26 14:52:03.055688,56,22,22,319,5.7,81,26,water_needed
2026-03-26 14:52:05.213298,18,26,34,190,6.0,44,67,water_needed
2026-03-26 14:52:07.358397,63,17,67,281,7.1,33,24,water_needed
2026-03-26 14:52:09.510951,25,23,24,414,6.3,55,63,water_needed
2026-03-26 14:52:11.649223,52,33,55,237,6.4,57,52,water_needed
2026-03-26 14:52:13.819081,60,28,44,673,7.5,81,47,water_needed
2026-03-26 14:52:16.049790,47,27,26,682,6.9,78,54,water_needed
2026-03-26 14:52:18.215249,94,28,75,586,7.5,45,52,water_needed
2026-03-26 14:52:20.362839,54,27,72,593,6.7,87,35,water_needed
2026-03-26 14:52:22.506152,63,31,51,535,7.4,52,24,water_needed
2026-03-26 14:52:24.655859,62,33,82,817,6.5,82,58,water_needed
2026-03-26 14:52:26.806584,92,22,47,347,5.7,40,44,water_needed
2026-03-26 14:52:28.955959,65,27,46,431,5.7,69,76,water_needed
2026-03-26 14:52:31.112661,51,41,74,690,5.9,73,42,water_needed
2026-03-26 14:52:33.265000,45,31,66,633,6.6,31,38,water_needed
2026-03-26 14:52:35.410987,77,27,81,438,5.5,79,57,water_needed
2026-03-26 14:52:37.567041,68,27,66,582,6.6,44,26,water_needed
2026-03-26 14:52:39.707096,56,19,23,120,6.3,73,31,water_needed
2026-03-26 14:52:41.853964,52,43,43,615,7.3,46,46,water_needed
2026-03-26 14:52:44.086089,17,22,67,172,5.6,39,77,healthy
2026-03-26 14:52:46.231715,61,30,62,771,6.5,55,40,water_needed
2026-03-26 14:52:48.379151,40,36,71,839,6.1,52,36,water_needed
2026-03-26 14:52:50.528527,27,36,28,778,5.7,87,28,water_needed
2026-03-26 14:52:52.689392,61,29,68,265,6.8,52,68,healthy
2026-03-26 14:52:54.873684,86,33,73,277,6.8,77,21,water_needed
2026-03-26 14:52:57.036028,91,36,56,749,5.8,78,24,water_needed
2026-03-26 14:52:59.185320,43,41,70,278,6.0,68,55,water_needed
2026-03-26 14:53:01.352440,17,18,40,588,6.7,53,52,water_needed
2026-03-26 14:53:03.504813,28,27,68,305,6.4,47,45,water_needed
2026-03-26 14:53:05.655302,85,35,51,622,6.3,45,79,healthy
2026-03-26 14:53:07.826974,11,29,61,567,7.2,66,41,water_needed
2026-03-26 14:53:09.981058,22,22,27,422,6.1,52,43,water_needed
2026-03-26 14:53:12.144899,47,16,57,574,5.5,36,69,healthy
2026-03-26 14:53:14.364056,20,18,47,809,6.5,46,20,water_needed
2026-03-26 14:53:16.515505,16,20,80,899,6.6,48,30,water_needed
2026-03-26 14:53:18.695914,23,23,62,138,7.1,59,24,water_needed
2026-03-26 14:53:20.853754,10,43,44,279,6.5,83,43,water_needed
2026-03-26 14:53:22.996991,12,23,27,734,6.5,75,34,water_needed
2026-03-26 14:53:25.143610,26,29,53,183,6.6,78,66,healthy
