moisture,temperature,humidity,light,ph,air_quality,nutrient,label
393,22,62,626,7.11,668,64,healthy
215,30,30,325,4.81,520,57,stress
185,29,47,424,4.6,556,37,stress
95,27,36,500,6.63,675,25,water_needed
115,28,22,560,7.0,650,43,water_needed
246,33,35,445,4.82,598,49,stress
84,26,43,515,6.2,669,35,water_needed
234,29,47,410,5.17,507,54,stress
193,29,48,343,4.63,585,59,stress
138,30,39,405,5.99,678,28,water_needed
291,21,72,659,6.93,701,56,healthy
164,31,36,355,5.88,502,36,stress
377,22,77,668,6.49,624,59,healthy
136,27,36,538,5.89,598,42,water_needed
188,33,42,386,5.19,590,56,stress
132,23,34,485,5.11,608,23,water_needed
204,32,40,485,5.09,594,32,stress
131,27,31,488,6.15,598,49,water_needed
122,27,42,588,6.7,620,22,water_needed
148,26,42,360,5.71,579,38,water_needed
383,26,57,499,6.83,785,86,healthy
239,33,30,351,5.38,612,55,stress
161,29,30,467,5.24,601,47,stress
118,24,20,472,6.66,618,26,water_needed
258,25,58,545,7.35,630,75,healthy
139,29,20,385,5.44,556,46,water_needed
210,29,34,483,5.39,613,49,stress
174,32,34,445,5.12,528,36,stress
335,22,75,575,6.81,617,75,healthy
349,25,75,541,6.73,687,70,healthy
320,25,55,557,7.02,624,50,healthy
235,33,46,402,5.02,508,42,stress
96,23,43,401,6.19,647,47,water_needed
120,24,36,406,5.07,580,26,water_needed
121,30,29,561,6.51,551,22,water_needed
318,20,68,556,6.18,731,79,healthy
265,24,53,519,6.63,746,69,healthy
212,33,30,411,4.52,586,33,stress
163,29,49,463,4.89,584,30,stress
99,28,23,581,5.99,693,39,water_needed
97,22,41,587,5.23,624,48,water_needed
102,23,23,446,6.0,695,33,water_needed
391,20,51,440,6.86,618,83,healthy
383,23,69,452,6.55,627,63,healthy
360,26,51,518,6.53,655,88,healthy
252,24,61,678,6.67,677,64,healthy
185,28,34,345,5.28,639,56,stress
123,26,40,440,5.03,658,42,water_needed
281,23,54,697,6.38,621,89,healthy
295,22,63,500,6.5,712,68,healthy
394,26,64,626,6.9,689,82,healthy
300,26,60,506,6.8,618,73,healthy
191,34,34,473,4.72,580,58,stress
207,28,43,358,5.34,624,34,stress
131,27,28,576,5.21,649,22,water_needed
204,32,41,440,4.55,627,55,stress
261,23,67,471,6.12,665,67,healthy
126,28,44,450,6.24,661,44,water_needed
159,33,41,495,5.35,603,50,stress
139,23,23,563,5.4,626,49,water_needed
186,29,31,446,4.74,513,36,stress
100,24,40,468,6.06,650,49,water_needed
108,26,32,554,6.68,617,23,water_needed
222,34,31,417,5.21,515,55,stress
152,33,49,425,5.97,578,52,stress
121,25,33,400,5.99,601,46,water_needed
287,26,74,562,7.16,765,89,healthy
173,29,44,456,5.21,509,48,stress
250,24,67,524,6.8,710,74,healthy
344,24,52,412,6.66,717,78,healthy
249,32,38,361,5.97,587,53,stress
311,24,54,489,7.27,765,70,healthy
249,28,40,301,4.64,649,51,stress
154,31,33,496,4.58,569,51,stress
136,27,36,507,6.86,659,38,water_needed
208,31,40,349,5.67,598,53,stress
204,31,35,476,5.16,613,38,stress
82,30,32,530,6.73,592,46,water_needed
298,24,62,663,7.2,744,70,healthy
217,28,47,373,5.65,639,41,stress
199,28,39,415,5.52,551,38,stress
110,26,26,358,6.12,564,24,water_needed
386,20,71,418,6.86,781,71,healthy
86,30,21,359,5.51,660,35,water_needed
270,23,62,678,7.07,719,80,healthy
92,25,32,393,5.72,566,23,water_needed
222,33,47,357,4.79,507,54,stress
126,25,28,408,6.75,552,35,water_needed
301,22,50,503,7.0,694,69,healthy
303,20,52,454,6.35,703,59,healthy
146,23,34,570,5.91,584,28,water_needed
146,31,43,385,5.29,570,39,water_needed
271,22,61,471,6.47,795,67,healthy
148,25,32,448,5.41,581,41,water_needed
111,27,43,468,5.46,577,49,water_needed
242,29,44,440,4.65,529,57,stress
183,29,49,496,5.8,606,55,stress
306,21,53,416,6.37,705,71,healthy
162,30,34,459,4.64,541,43,stress
198,34,48,394,5.74,511,46,stress
217,34,40,424,4.76,550,57,stress
252,22,57,416,6.54,689,80,healthy
176,30,35,420,5.94,568,49,stress
135,31,28,398,6.74,667,27,water_needed
253,20,68,485,7.18,672,54,healthy
228,32,38,408,4.85,581,43,stress
286,22,50,419,7.01,659,79,healthy
277,24,74,597,6.41,790,84,healthy
262,20,60,526,6.07,673,57,healthy
378,21,79,519,6.53,731,87,healthy
309,23,50,576,7.46,722,59,healthy
187,29,46,372,4.97,546,32,stress
280,22,70,694,6.17,606,70,healthy
266,27,64,553,6.78,698,60,healthy
394,25,51,595,7.14,657,74,healthy
360,23,79,587,6.32,722,51,healthy
130,28,42,388,5.53,602,25,water_needed
130,24,27,474,5.51,633,40,water_needed
215,28,45,448,4.55,562,43,stress
132,28,34,526,6.33,664,25,water_needed
335,25,77,650,6.77,729,79,healthy
225,32,36,475,5.29,518,42,stress
390,20,54,624,7.1,764,72,healthy
90,31,26,591,5.2,579,49,water_needed
86,25,44,467,6.85,574,35,water_needed
325,24,70,526,7.02,674,66,healthy
209,28,38,408,5.27,585,33,stress
190,28,37,394,4.83,601,57,stress
222,32,31,394,4.69,569,36,stress
203,34,49,443,5.09,625,49,stress
109,28,44,451,6.83,632,20,water_needed
291,21,68,672,7.41,638,76,healthy
85,26,20,411,5.53,621,20,water_needed
115,28,29,395,6.49,560,36,water_needed
396,24,65,613,6.47,725,86,healthy
86,22,22,363,5.87,552,29,water_needed
255,23,70,454,6.31,610,60,healthy
193,30,42,393,5.99,506,51,stress
112,31,41,477,5.41,654,30,water_needed
102,30,43,380,5.56,632,25,water_needed
335,25,63,688,6.92,658,56,healthy
373,20,67,568,6.4,789,67,healthy
315,26,75,426,6.95,691,87,healthy
238,32,44,360,4.95,635,32,stress
197,30,33,387,5.26,506,31,stress
380,24,65,647,6.08,721,65,healthy
130,29,37,551,5.36,627,43,water_needed
228,31,42,304,5.99,586,33,stress
247,32,42,431,5.51,538,54,stress
121,30,28,403,6.85,576,49,water_needed
371,23,78,508,7.42,648,68,healthy
87,29,31,513,6.24,670,32,water_needed
158,31,36,356,5.97,627,57,stress
229,34,33,324,5.41,529,46,stress
353,25,77,412,6.56,798,51,healthy
135,29,30,520,5.44,681,25,water_needed
302,21,58,436,6.47,798,79,healthy
200,32,44,455,5.38,547,32,stress
129,22,20,545,6.93,682,23,water_needed
216,34,38,332,5.35,595,36,stress
389,22,67,428,6.08,721,86,healthy
276,27,64,412,7.49,771,79,healthy
198,30,46,463,5.74,593,57,stress
252,21,67,458,6.29,663,55,healthy
275,22,60,473,7.28,779,54,healthy
84,29,41,516,5.71,660,22,water_needed
310,27,68,474,6.87,762,85,healthy
255,22,57,527,7.41,611,63,healthy
363,20,65,682,7.47,677,55,healthy
233,33,44,488,4.93,590,42,stress
247,28,30,369,4.85,618,49,stress
147,24,38,367,5.76,676,46,water_needed
147,29,31,410,5.68,651,34,water_needed
157,31,32,351,4.69,587,54,stress
309,27,60,615,6.89,601,70,healthy
99,29,22,466,5.68,625,29,water_needed
206,29,42,332,5.8,648,50,stress
221,34,38,420,5.79,519,43,stress
129,25,33,451,6.88,556,23,water_needed
332,22,66,429,6.67,686,85,healthy
335,23,64,530,6.28,715,74,healthy
337,27,72,489,7.37,637,75,healthy
170,29,42,424,5.98,565,44,stress
350,27,71,640,6.02,649,69,healthy
169,32,30,381,5.99,607,50,stress
293,26,69,680,7.48,763,66,healthy
85,26,44,540,5.29,627,48,water_needed
198,28,40,385,5.96,586,41,stress
140,23,41,487,5.79,618,22,water_needed
225,29,31,306,5.8,511,39,stress
390,20,51,434,7.18,764,56,healthy
367,27,58,547,6.59,699,50,healthy
363,22,75,541,7.34,635,55,healthy
358,20,56,446,7.28,640,69,healthy
93,28,28,549,5.75,637,24,water_needed
144,27,27,500,6.88,565,23,water_needed
339,27,71,546,7.33,704,50,healthy
173,29,47,377,5.97,635,59,stress
102,24,25,401,5.81,593,48,water_needed
162,30,48,359,5.22,600,44,stress
85,26,23,581,6.32,647,43,water_needed
372,20,64,516,6.33,797,83,healthy
353,26,74,402,6.59,672,69,healthy
184,29,31,301,5.62,610,53,stress
249,32,44,411,4.97,618,48,stress
140,27,42,479,5.46,659,29,water_needed
318,25,73,509,6.22,763,54,healthy
191,32,40,332,5.97,507,37,stress
94,23,42,407,6.83,565,49,water_needed
145,27,34,444,6.37,684,43,water_needed
278,21,58,523,6.38,749,78,healthy
125,25,24,425,5.15,670,41,water_needed
116,29,39,461,5.05,679,21,water_needed
293,21,65,658,6.97,689,86,healthy
279,23,69,519,6.74,756,55,healthy
93,24,40,416,6.1,633,21,water_needed
152,30,44,368,5.5,520,44,stress
362,22,77,591,6.32,745,59,healthy
385,26,69,650,7.43,675,84,healthy
395,22,72,657,7.27,664,68,healthy
111,25,23,436,6.9,581,46,water_needed
223,32,39,316,5.11,526,36,stress
114,26,25,453,5.03,659,44,water_needed
116,25,21,569,5.34,623,27,water_needed
114,31,37,352,6.1,614,29,water_needed
218,34,43,326,5.91,513,44,stress
321,27,73,455,6.42,631,87,healthy
131,26,26,485,5.76,568,26,water_needed
162,28,44,320,4.65,541,55,stress
397,25,57,501,7.13,617,68,healthy
174,34,40,462,4.58,505,34,stress
200,28,46,300,5.07,501,34,stress
115,24,28,523,6.19,550,41,water_needed
135,31,31,469,6.36,649,45,water_needed
230,33,31,334,5.52,509,54,stress
338,26,71,692,6.33,779,82,healthy
229,30,45,495,5.27,620,31,stress
342,25,70,415,7.1,646,65,healthy
81,24,31,363,6.42,586,30,water_needed
109,30,27,469,6.71,621,38,water_needed
257,21,70,503,6.94,759,68,healthy
236,33,43,305,5.31,611,48,stress
361,23,75,537,6.08,656,62,healthy
103,25,25,518,5.04,657,28,water_needed
120,22,26,374,5.19,607,44,water_needed
181,28,47,460,5.47,595,50,stress
142,24,41,544,5.92,585,41,water_needed
398,21,79,643,6.76,608,81,healthy
127,25,44,545,5.49,596,26,water_needed
226,32,33,399,4.5,577,40,stress
144,30,35,390,5.18,687,38,water_needed
150,30,49,356,5.3,562,59,stress
85,24,33,583,6.39,649,47,water_needed
146,24,43,472,5.85,627,40,water_needed
239,31,49,301,5.71,544,34,stress
241,31,49,463,5.15,620,33,stress
191,31,49,303,5.56,547,39,stress
80,25,39,444,6.98,685,35,water_needed
335,23,77,436,7.05,715,69,healthy
177,29,45,318,4.84,547,38,stress
90,25,28,391,6.18,622,30,water_needed
247,28,37,368,5.84,584,41,stress
307,25,78,542,7.13,784,56,healthy
211,32,36,364,5.39,539,42,stress
167,32,41,327,4.76,547,30,stress
253,21,75,407,6.91,675,87,healthy
172,29,43,303,5.1,594,55,stress
146,26,27,599,6.7,618,30,water_needed
248,33,38,326,5.46,610,52,stress
98,26,33,468,6.05,590,21,water_needed
373,21,74,438,6.13,627,76,healthy
350,20,50,666,6.32,731,71,healthy
119,27,42,476,6.81,691,21,water_needed
118,25,33,424,5.46,573,49,water_needed
333,27,73,682,6.44,615,55,healthy
139,26,26,548,6.64,611,38,water_needed
158,34,30,380,5.94,541,44,stress
203,34,32,414,4.66,508,35,stress
116,31,27,536,6.13,690,23,water_needed
124,31,29,506,5.95,699,34,water_needed
149,30,40,476,6.0,677,20,water_needed
196,30,32,457,5.53,525,54,stress
100,22,22,495,6.08,560,48,water_needed
215,31,44,351,5.72,507,48,stress
379,25,52,411,6.82,721,63,healthy
177,31,43,447,5.71,563,56,stress
155,29,35,477,5.66,635,32,stress
312,26,57,650,6.74,728,89,healthy
121,29,44,460,6.01,680,34,water_needed
387,20,79,659,6.95,788,67,healthy
148,30,34,391,6.88,656,37,water_needed
81,28,26,479,5.52,668,35,water_needed
112,28,35,508,5.99,699,25,water_needed
93,28,38,379,6.18,645,44,water_needed
263,27,57,634,6.68,763,82,healthy
181,31,35,316,5.11,509,38,stress
242,34,34,360,4.56,592,47,stress
98,28,29,375,5.32,604,48,water_needed
286,21,73,491,7.12,771,65,healthy
91,28,26,528,5.86,622,30,water_needed
125,29,31,411,5.34,667,45,water_needed
187,32,34,372,5.1,594,31,stress
105,22,40,371,5.92,616,23,water_needed
168,30,40,477,5.53,636,39,stress
283,20,71,590,6.19,660,71,healthy
383,22,57,510,7.37,764,61,healthy
130,25,43,514,5.54,697,23,water_needed
360,25,55,418,6.96,641,85,healthy
147,31,37,387,6.3,674,27,water_needed
238,31,38,478,4.55,603,30,stress
157,30,31,356,4.8,594,41,stress
207,33,30,349,5.84,510,48,stress
102,28,42,530,6.17,556,41,water_needed
82,28,38,510,5.46,665,35,water_needed
81,22,21,585,6.37,658,40,water_needed
173,33,34,492,4.73,522,49,stress
209,33,46,364,5.07,599,54,stress
86,23,32,556,6.63,661,34,water_needed
396,21,57,597,6.95,695,53,healthy
343,27,72,608,6.99,761,70,healthy
257,23,65,555,6.69,615,71,healthy
228,33,39,315,5.2,615,36,stress
105,30,39,597,5.6,692,41,water_needed
393,27,77,583,7.37,780,67,healthy
108,24,26,393,5.4,674,23,water_needed
387,26,76,467,6.96,621,55,healthy
86,29,20,589,5.31,688,33,water_needed
334,25,73,685,6.31,699,86,healthy
112,23,29,478,5.54,689,37,water_needed
131,25,34,519,6.28,618,28,water_needed
167,34,35,470,4.57,642,38,stress
144,27,39,480,6.07,604,39,water_needed
160,29,36,499,4.54,605,37,stress
102,29,25,353,6.07,622,34,water_needed
106,31,40,364,5.77,637,25,water_needed
394,21,51,573,7.15,627,50,healthy
257,22,56,470,7.05,786,79,healthy
102,24,22,418,6.45,618,48,water_needed
158,31,44,391,5.57,512,51,stress
244,28,33,341,5.36,592,50,stress
174,34,40,309,4.91,522,42,stress
252,23,59,661,6.84,739,77,healthy
323,25,72,657,6.5,734,52,healthy
198,31,35,317,5.7,612,43,stress
272,26,61,524,6.88,743,66,healthy
288,26,75,483,7.07,641,59,healthy
353,20,75,539,7.48,629,72,healthy
190,29,36,303,4.6,512,44,stress
338,25,59,482,6.89,764,87,healthy
244,28,40,367,4.81,516,47,stress
397,24,64,440,6.7,706,64,healthy
131,29,26,558,5.2,663,28,water_needed
391,22,69,420,6.62,709,79,healthy
159,34,44,358,5.27,556,45,stress
101,27,37,390,6.88,632,22,water_needed
126,24,26,530,6.68,673,33,water_needed
106,23,40,579,5.5,565,26,water_needed
212,30,35,456,5.58,612,45,stress
99,31,26,491,6.53,679,49,water_needed
235,29,48,303,4.89,547,56,stress
353,21,52,465,7.14,742,65,healthy
188,29,31,470,4.96,504,36,stress
348,21,66,537,7.32,607,50,healthy
110,29,24,375,6.31,557,29,water_needed
88,22,39,486,5.72,594,47,water_needed
141,27,35,480,5.55,682,35,water_needed
132,22,27,599,5.46,590,26,water_needed
109,31,37,393,6.12,570,25,water_needed
219,33,48,480,5.0,512,36,stress
375,20,53,512,7.32,646,66,healthy
256,21,53,621,7.03,610,70,healthy
138,22,28,464,6.88,667,33,water_needed
141,22,34,380,5.29,583,30,water_needed
345,24,57,401,7.06,735,75,healthy
161,34,43,480,5.37,596,55,stress
118,25,38,557,5.71,633,22,water_needed
165,33,30,379,5.29,628,53,stress
96,23,39,586,6.94,626,21,water_needed
149,28,22,564,6.02,697,29,water_needed
260,21,67,679,6.32,602,78,healthy
206,33,39,368,5.0,647,54,stress
149,28,20,590,6.44,562,20,water_needed
123,30,22,504,5.39,673,33,water_needed
379,24,56,551,7.03,783,62,healthy
316,21,74,430,6.3,689,83,healthy
210,33,45,382,5.94,628,32,stress
122,25,39,588,6.35,567,26,water_needed
106,28,31,573,6.73,688,28,water_needed
159,30,32,360,5.52,595,32,stress
372,26,71,547,6.05,710,71,healthy
148,26,36,431,6.85,629,32,water_needed
210,28,39,332,4.92,649,47,stress
383,25,51,585,6.46,792,51,healthy
296,22,58,674,6.44,745,70,healthy
227,32,45,498,4.8,508,35,stress
391,22,70,617,6.83,786,58,healthy
99,31,28,364,6.72,629,33,water_needed
371,21,68,503,6.75,776,71,healthy
134,28,24,386,5.64,650,47,water_needed
261,22,51,578,6.95,766,65,healthy
317,27,58,626,6.72,695,54,healthy
218,30,48,359,5.12,523,52,stress
159,32,30,487,4.83,576,55,stress
304,23,51,590,7.0,635,67,healthy
150,34,46,309,5.81,589,52,stress
352,20,64,535,6.51,688,63,healthy
201,34,35,440,5.32,644,44,stress
88,24,21,361,5.37,685,20,water_needed
192,33,45,398,5.12,575,44,stress
87,29,38,583,5.61,567,33,water_needed
352,22,68,402,7.4,683,83,healthy
106,23,29,598,5.77,679,23,water_needed
353,21,50,497,6.27,644,84,healthy
110,28,34,551,5.69,669,20,water_needed
143,22,37,366,5.63,656,40,water_needed
311,27,66,456,6.05,750,62,healthy
348,22,65,508,7.18,624,62,healthy
192,32,48,359,4.66,624,50,stress
186,31,30,428,4.75,580,37,stress
85,29,33,439,6.99,621,30,water_needed
198,29,48,364,5.18,523,52,stress
114,23,28,572,5.28,568,42,water_needed
185,29,38,430,4.91,611,44,stress
83,29,41,382,6.49,690,43,water_needed
208,28,44,301,5.09,546,33,stress
339,21,58,458,6.05,724,78,healthy
329,21,62,548,6.47,792,75,healthy
158,32,35,443,4.96,561,48,stress
240,28,42,396,4.6,580,49,stress
394,21,51,441,6.23,630,58,healthy
362,23,74,450,7.23,665,81,healthy
187,32,38,320,4.58,563,45,stress
386,24,73,627,6.59,718,84,healthy
245,33,34,494,5.0,527,54,stress
159,28,31,300,5.13,549,57,stress
342,24,51,585,7.09,665,62,healthy
365,20,60,515,7.17,783,59,healthy
396,27,55,528,7.32,659,68,healthy
239,34,48,377,4.77,610,31,stress
371,23,71,483,6.02,774,78,healthy
108,29,34,494,5.79,589,42,water_needed
315,25,63,663,7.16,700,51,healthy
296,23,66,451,6.46,692,70,healthy
270,26,74,427,7.18,684,62,healthy
382,23,51,564,7.16,642,81,healthy
335,21,61,552,6.17,765,86,healthy
110,25,44,522,6.86,643,20,water_needed
88,28,27,369,5.25,674,44,water_needed
387,25,79,600,6.75,717,65,healthy
156,29,33,411,5.41,609,43,stress
105,29,24,397,5.2,683,44,water_needed
226,32,36,336,5.9,588,35,stress
200,33,40,388,5.71,593,44,stress
197,33,47,376,5.69,561,37,stress
250,26,56,680,6.12,773,83,healthy
104,27,20,368,6.39,599,29,water_needed
324,22,79,517,6.33,781,57,healthy
213,34,33,444,4.95,602,52,stress
325,20,56,576,7.29,718,58,healthy
200,29,46,417,5.99,503,43,stress
94,27,27,392,5.7,615,20,water_needed
211,32,49,330,5.31,632,33,stress
157,29,38,328,5.48,625,43,stress
264,24,53,543,6.81,757,56,healthy
246,34,38,332,4.89,621,45,stress
117,31,24,570,5.49,561,35,water_needed
314,21,57,448,7.15,734,59,healthy
331,27,60,508,7.21,790,71,healthy
129,31,38,399,6.79,640,34,water_needed
182,33,36,386,5.08,559,43,stress
348,24,57,591,6.95,664,56,healthy
275,27,56,658,6.19,770,55,healthy
218,29,42,383,5.49,509,44,stress
362,26,51,669,7.2,707,56,healthy
397,20,76,404,7.17,602,58,healthy
82,30,44,435,6.63,666,42,water_needed
148,28,38,501,5.62,664,37,water_needed
126,31,43,436,5.2,658,20,water_needed
98,30,29,403,5.2,660,49,water_needed
323,26,75,402,6.77,629,62,healthy
196,28,47,490,5.48,505,48,stress
232,29,46,351,4.75,646,57,stress
161,28,41,475,5.83,554,38,stress
253,21,73,486,7.12,643,75,healthy
217,31,30,389,4.59,534,51,stress
177,31,30,469,5.44,546,54,stress
93,27,40,364,5.84,555,45,water_needed
169,28,49,396,5.2,559,31,stress
185,34,47,349,4.8,530,57,stress
108,23,39,485,6.01,628,45,water_needed
116,30,29,534,6.73,601,49,water_needed
207,28,42,338,5.57,612,59,stress
129,22,30,428,5.42,670,29,water_needed
294,24,73,638,6.69,770,77,healthy
341,22,79,609,6.77,688,56,healthy
367,27,79,548,7.4,632,74,healthy
184,29,31,353,5.06,608,34,stress
346,26,72,427,7.06,769,89,healthy
311,20,54,555,7.05,770,88,healthy
224,31,32,392,5.31,589,56,stress
389,21,53,434,7.37,628,83,healthy
106,27,20,398,6.81,626,30,water_needed
347,24,72,430,6.62,750,85,healthy
213,31,46,465,5.03,536,57,stress
188,32,39,431,5.49,564,38,stress
311,22,59,437,6.31,779,81,healthy
104,31,27,464,6.52,605,49,water_needed
107,24,25,515,5.1,683,35,water_needed
135,29,20,564,5.14,615,48,water_needed
194,30,35,453,4.58,521,31,stress
191,29,30,303,5.12,557,32,stress
399,26,71,507,6.26,676,76,healthy
154,34,49,497,5.66,606,58,stress
348,24,52,466,6.58,722,66,healthy
81,23,37,401,6.51,571,25,water_needed
246,31,45,385,5.83,501,30,stress
179,30,41,488,5.25,586,33,stress
378,26,69,546,6.04,794,64,healthy
335,21,64,678,6.88,647,89,healthy
137,25,44,485,5.1,687,27,water_needed
240,34,46,399,5.82,593,57,stress
318,26,72,480,6.57,764,55,healthy
123,22,42,542,5.78,610,39,water_needed
173,30,37,492,5.72,606,33,stress
227,28,30,492,5.89,596,37,stress
375,23,62,642,7.05,621,56,healthy
209,28,36,426,5.64,539,41,stress
276,20,74,505,6.77,613,60,healthy
150,31,39,372,5.23,547,57,stress
194,33,36,413,4.59,536,33,stress
357,27,59,435,7.32,604,77,healthy
188,30,31,419,4.78,575,44,stress
344,23,57,462,7.17,629,66,healthy
379,27,70,564,6.91,744,65,healthy
200,32,33,340,5.6,585,40,stress
311,21,57,668,6.26,752,87,healthy
344,26,77,554,7.3,748,81,healthy
120,28,25,427,6.67,611,30,water_needed
391,21,68,566,7.44,711,74,healthy
104,25,23,414,5.1,670,40,water_needed
325,21,70,462,7.18,662,63,healthy
120,23,27,522,5.28,696,34,water_needed
393,22,56,440,6.25,729,78,healthy
297,22,62,542,6.72,772,62,healthy
127,23,34,454,5.23,681,23,water_needed
170,29,46,417,5.07,560,55,stress
159,31,40,460,4.73,521,57,stress
353,25,69,627,6.98,667,61,healthy
145,22,20,379,6.04,572,38,water_needed
131,26,22,432,6.77,639,23,water_needed
97,24,42,555,5.65,555,48,water_needed
143,30,31,386,5.9,672,39,water_needed
203,33,38,402,5.07,576,31,stress
239,28,32,477,4.9,546,43,stress
366,26,52,694,7.32,694,50,healthy
278,20,52,639,6.74,729,84,healthy
214,29,44,353,5.67,620,52,stress
147,30,41,529,6.38,627,38,water_needed
311,20,53,543,7.41,784,64,healthy
223,34,37,477,4.82,561,33,stress
